txn_id,posting_date,accrual_date,entity,cost_centre,account_code,amount,currency,vendor_id,doc_ref,approval_ref,memo
T001,2023-04-10,2023-04-10,TS-US,OPS-US,6210,100.00,USD,V001,INV-2023-000001,,airfare q2
T002,2023-05-10,2023-05-10,TS-US,OPS-US,6220,100.00,USD,V003,INV-2023-000002,,hotel q2
T003,2023-06-10,2023-06-10,TS-US,OPS-US,6230,100.00,USD,V004,INV-2023-000003,,meals q2
T004,2023-07-10,2023-07-10,TS-US,OPS-US,6210,100.00,USD,V001,INV-2023-000004,,airfare q3
T005,2023-08-10,2023-08-10,TS-US,OPS-US,6610,100.00,USD,V001,INV-2023-000005,,freight q3
T006,2023-09-10,2023-09-10,TS-US,OPS-US,6110,1000.00,USD,,PAY-2023-000006,,september payroll
T007,2024-04-10,2024-04-10,TS-US,OPS-US,6210,200.00,USD,V001,INV-2024-000007,AP-0001,airfare q2
T008,2024-05-10,2024-05-10,TS-US,OPS-US,6220,200.00,USD,V003,INV-2024-000008,,hotel q2
T009,2024-06-10,2024-06-10,TS-US,OPS-US,6230,200.00,USD,V004,INV-2024-000009,,meals q2
T010,2024-07-10,2024-07-10,TS-US,OPS-US,6210,200.00,USD,V001,INV-2024-000010,,airfare q3
T011,2024-07-10,2024-07-10,TS-US,OPS-US,6230,200.00,USD,V004,INV-2024-000011,,client entertainment q3
T012,2024-08-10,2024-08-10,TS-US,OPS-US,6610,500.00,USD,V001,INV-2024-000012,,expedited freight
T013,2024-09-10,2024-09-10,TS-US,OPS-US,6110,1000.00,USD,,PAY-2024-000013,,september payroll
T014,2024-08-11,2024-08-11,TS-US,OPS-US,6610,500.00,USD,V002,INV-2024-000014,,expedited freight
T015,2023-07-15,2023-07-15,TS-EU,OPS-EU,6210,100.00,EUR,V005,INV-2023-000015,,airfare q3
T016,2024-07-15,2024-07-15,TS-EU,OPS-EU,6210,100.00,EUR,V005,INV-2024-000016,,airfare q3
T017,2024-09-15,2024-09-15,TS-EU,OPS-EU,6610,100.00,EUR,V005,INV-2024-000017,,freight september
T018,2024-09-10,2024-09-10,TS-US,OPS-US,6610,500.00,USD,V001,INV-2024-000018,,expedited freight
